COMPANY_NAME,AVG_EXPERIENCE,INDUSTRY,LOCATION_1,COMPANY_SCORE,EXPERIENCE_SCORE,INDUSTRY_SCORE,LOCATION_SCORE,SALARY
Get jobs like this in my inbox,1,"Advertising, PR, Events, Agriculture, Dairy, Forestry, Fishing, Airlines, Aviation, Aerospace, Automotive, Automobile, Ancillaries, Banking, Accounting, Financial Services, Wellness, Fitness, Sports, Beverages, Liquor, Bio Technology & Life Sciences, Cement, Concrete, Readymix, Plastic, Rubber, Construction & Engineering, Consulting, Advisory Services, FMCG, Courier, Freight, Transportation, Internet, E-commerce, Education, Entertainment, Media, Publishing, Fertilizer, Pesticides, Food & Packaged Food, Textiles, Yarn, Fabrics, Garments, Gems & Jewellery, Government, PSU, Defence, Consumer Electronics, Durables, Appliances, Hospitals, Healthcare, Diagnostics, Hotels, Hospitality, Restaurant, General Trading, Import, Export, Insurance, Iron, Steel, ISP, ITES, BPO, IT, Computers - Hardware & Networking, IT, Computers - Software, Leather, Machinery, Equipment Mfg., Market Research, Medical Transcription, Mining, NGO, Social Services, Non-Ferrous Metals (Aluminium, Zinc etc.), Office Equipment, Automation, Oil, Gas, Petroleum, Pharmaceutical, Paints, Paper, Power, Energy, Printing, Packaging, Public Relations (PR), Real Estate, Retailing, Shipping, Marine Services, Telecom, Travel, Tourism, Tyres, Wood, Electronics Manufacturing, Railways Speciality, Infrastructure, Recruitment, Staffing, RPO, Sugar, E-Learning, Engineering, Procurement, Construction, Facility management, Social Media, Semiconductor, KPO, Research, Analytics, Electrical, Switchgears, Chemicals, Petrochemicals, Ceramics & Sanitary Ware, Law Enforcement, Security Services, Environmental Service, Heat Ventilation Air Conditioning (HVAC), Glass, Animation, Architecture, Interior Design, Engineering & Design, Escalators, Elevators, Legal, Law Firm, Fashion, Apparels",Bengaluru,1,1,1,5,340000
Biz Industries,1,"IT, Computers - Hardware & Networking",Kolkata,1,1,3,4,200000
Biz Industries,1,"ITES, BPO",Delhi,1,1,3,5,200000
Biz Industries,1,"ITES, BPO",Kolkata,1,1,3,4,200000
Biz Industries,1,"IT, Computers - Hardware & Networking, IT, Computers - Software",Delhi,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Software",Delhi,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Software",Bengaluru,1,1,3,5,200000
Biz Industries,1,"Bio Technology & Life Sciences, Chemicals, Petrochemicals",Thiruvananthapuram / Trivandrum,1,1,1,1,200000
Biz Industries,1,"IT, Computers - Hardware & Networking",Delhi,1,1,3,5,200000
Hire Zone Solution,0,"Hotels, Hospitality, Restaurant",Delhi,1,0,1,5,350000
Vudum Srinu (Proprietor Of Suncity Star Technology),1,"IT, Computers - Software",Ahmedabad,1,1,3,1,200000
Biz Industries,1,"Electrical, Switchgears",Mumbai,1,1,1,5,200000
Biz Industries,1,Engineering & Design,Mumbai,1,1,1,5,200000
Biz Industries,1,"Automotive, Automobile, Ancillaries",Bengaluru,1,1,1,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking, IT, Computers - Software",Delhi,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Software",Bengaluru,1,1,3,5,200000
Biz Industries,1,Engineering & Design,Gurgaon / Gurugram,1,1,1,1,200000
Biz Industries,1,"IT, Computers - Hardware & Networking",Delhi,1,1,3,5,200000
Biz Industries,1,Electronics Manufacturing,Bengaluru,1,1,1,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking, IT, Computers - Software",Delhi,1,1,3,5,200000
Biz Industries,1,"Bio Technology & Life Sciences, Chemicals, Petrochemicals",Thiruvananthapuram / Trivandrum,1,1,1,1,200000
Biz Industries,1,"ITES, BPO",Kolkata,1,1,3,4,200000
Biz Industries,1,"Bio Technology & Life Sciences, Chemicals, Petrochemicals",Thiruvananthapuram / Trivandrum,1,1,1,1,200000
Biz Industries,1,Engineering & Design,Mumbai,1,1,1,5,200000
Biz Industries,1,"Fashion, Apparels",Delhi,1,1,1,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking, IT, Computers - Software",Mumbai,1,1,3,5,200000
Freelancer Iranna K Patil,0,"IT, Computers - Software",Bengaluru,1,0,3,5,275000
Biz Industries,1,"Bio Technology & Life Sciences, Chemicals, Petrochemicals",Thiruvananthapuram / Trivandrum,1,1,1,1,200000
Biz Industries,1,"Bio Technology & Life Sciences, Chemicals, Petrochemicals",Thiruvananthapuram / Trivandrum,1,1,1,1,200000
Biz Industries,1,"Electrical, Switchgears",Delhi,1,1,1,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking, IT, Computers - Software",Kolkata,1,1,3,4,200000
Biz Industries,1,"Electrical, Switchgears",Mumbai,1,1,1,5,200000
Biz Industries,1,Engineering & Design,Bengaluru,1,1,1,5,200000
